ID,Species_common_name,Species_scientific_name,X,Y,Date,Time,Distance_m,dt_s,Speed_m_s,habitat_type,Year,Habitat_specialisation,Feeding_guild,Ground-foraging_behaviour_%,HWI,Animal_mass_g,timestamp
BB01,Northern Brownbul,Phyllastrephus strepitans,391571.6297,9842837.37,3/18/2016,15:20,92.05,600,0.15,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 15:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391483.5397,9842810.67,3/18/2016,15:30,142.48,600,0.24,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 15:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391529.6902,9842945.47,3/18/2016,15:40,115.77,600,0.19,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 15:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391533.5505,9843070.17,3/18/2016,16:40,127.09,600,0.21,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 16:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391580.4296,9842952.04,3/18/2016,16:50,33.69,600,0.06,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 16:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391568.8305,9842905.67,3/18/2016,17:20,26.3,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/18/2016 17:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391546.0504,9843003.91,3/22/2016,7:30,25.74,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 7:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391529.5103,9842984.19,3/22/2016,7:40,10.82,600,0.02,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 7:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391530.2903,9842973.4,3/22/2016,7:50,129.78,600,0.22,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 7:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391465.4002,9842861.01,3/22/2016,8:00,36.78,600,0.06,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 8:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391472.2696,9842897.14,3/22/2016,8:10,46.4,600,0.08,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/22/2016 8:10
